JOB;EYE;TIMESTAMP;LMMEASDONE;POLAR;TINT;CRIB;LTYPE;LDVEN;LNAME;ENGLOC;LIND;SBOCIN;SBOCUP;ERDRIN;ERDRUP;ERNRIN;ERNRUP;BEROCIN;BEROCUP;BEROCA;LDDRSPH;LDDRCYL;LDDRAX;LDNRSPH;LDNRCYL;LDNRAX;LDPRSPH;LDPRCYL;LDPRAX;LDPRVH;LDPRVV;LDADD;INSDRSPH;INSDRCYL;INSDRAX;INSDRPRVH;INSDRPRVV;INSNRSPH;INSNRCYL;INSNRAX;INSNRPRVH;INSNRPRVV;INSPRSPH;INSPRCYL;INSPRAX;INSPRVH;INSPRVV;INSADD;POS34VALID;POS34X;POS34Y;POS34T;TPERR34X;TPERR34Y;TPERR34T;POS34MANU;POSPEVALID;POSPEX;POSPEY;POSPET;TPERRPEX;TPERRPEY;TPERRPET;PEDIST;POSPEID;DBPVALID;DBPX;DBPY;DBPT;DBPFE;DBPSE;CCPOSPRPX;CCPOSPRPY;CCPOSPRPT;CCPOSPRPP;CCPOSDRPX;CCPOSDRPY;CCPOSDRPT;CCPOSDRPP;CCPOSNRPX;CCPOSNRPY;CCPOSNRPT;CCPOSNRPP;CCPOSDBPPRPX;CCPOSDBPPRPY;CCPOSDBPPRPT;CCPOSDBPPRPP;CCPOSDBPDRPX;CCPOSDBPDRPY;CCPOSDBPDRPT;CCPOSDBPDRPP;CCPOSDBPNRPX;CCPOSDBPNRPY;CCPOSDBPNRPT;CCPOSDBPNRPP;LFRAMEORX;LFRAMEORY;LFRAMEORZ;LFRAMEXX;LFRAMEXY;LFRAMEXZ;LFRAMEYX;LFRAMEYY;LFRAMEYZ;LFRAMEZX;LFRAMEZY;LFRAMEZZ;LFRAMEDBPORX;LFRAMEDBPORY;LFRAMEDBPORZ;LFRAMEDBPXX;LFRAMEDBPXY;LFRAMEDBPXZ;LFRAMEDBPYX;LFRAMEDBPYY;LFRAMEDBPYZ;LFRAMEDBPZX;LFRAMEDBPZY;LFRAMEDBPZZ;LMFOALDDRSEQ;LMFOALDDRCYL;LMFOALDDRAX;LMFOALDNRSEQ;LMFOALDNRCYL;LMFOALDNRAX;INSGMC;INSAV;INSGMCDBP;INSAVDBP;INSEMDRSEQ;INSEMDRCYL;INSEMNRSEQ;INSEMNRCYL
1926101;L;2017-11-20_13.41.54;True;False;;61.4;PR FF;SHAMIR;71;B;1.733;1.825;4.278;0;10;2.133;-12;0;0;NaN;-10;0;0;-9;0;0;NaN;NaN;NaN;0;2.5;1;-10.0215;0.1165;89.142;0.3219;12.469;-8.9906;0.1424;4.242;-3.0452;6.0768;-9.9105;0.1348;74.02;0.2898;2.3544;1.0438;True;-0.0506049711879216;-0.0066603837099815;359.962274531887;-0.00255366471363933;-9.07598702611631E-19;0;1;False;999.9;999.9;999.9;4.40030545401565E-18;0.00499795250840439;0;49.5037;20217;True;-0.244928498200339;-0.151142637923005;1.12640766022813;0.104623993302179;0.0184536244063361;-0.011247254019916;-0.0319609986044805;2.03229704123175;119.204022071032;0.0161542904658547;9.57270455800654;9.85382933207297;95.6039993220606;-2.08127071565927;-11.683766345975;7.81962701376739;250.278895963543;0.23090567191316;0.110477402317648;2.05171270757217;112.680068661505;0.444711355428602;9.70741289372439;9.93810744449213;93.5005599562484;-2.07003897421552;-11.5014145820579;7.68968876128629;249.999039832827;-0.0404424012817106;0.0202683058508249;4.86494532464872;0.999869227298678;-0.00115772696150804;0.016130343128034;0.0011995653614497;0.999995941116605;-0.00258433613512047;-0.0161272857012309;0.00260334757538765;0.999866557715235;0.207552809873632;0.166357797464092;4.86852901590481;0.999655930254527;-0.0208116529102798;0.0159654693040486;0.0208525284896927;0.999779686444246;-0.0023980469203655;-0.0159120445745677;0.00273014222848596;0.999869668087231;-9.88583216369607;0.109642644381512;145.601035355212;-9.72814224628984;0.301380515582825;142.178187060038;0.12;-0.152;0.11;-0.156;-0.218;0.132;-0.092;0.082
1926101;R;2017-11-20_13.41.54;True;False;;61.4;PR FF;SHAMIR;71;B;1.733;1.837;4.304;0;10;1.967;-12;0;0;NaN;-10;0;0;-8;0;0;NaN;NaN;NaN;0;2.5;2;-9.9156;0.0355;102.204;0.0996;12.0412;-8.1008;0.3131;6.738;1.852;-8.0144;-9.5821;0.1149;146.134;0.1748;2.1734;1.9536;True;0;0;359.999999537122;0.00248181952216823;-1.80589041976295E-18;0;1;False;999.9;999.9;999.9;4.23241917066734E-18;0.00463631353313155;0;49.5012;20060;True;0.488725319613644;-0.541560902698247;-0.874413899179942;0.0816311539048085;0.0439159130911951;-0.0048837285826136;-0.044278597221956;2.27867897771334;62.4803412781743;-0.0165409301653842;9.57146729230378;10.014212900253;84.0716382343945;1.89117067445413;-11.7376154938584;6.75899207081595;291.068717692012;-0.490138768619454;0.477454403050528;2.5261290184292;74.8149852805048;-0.643307067717743;10.0714833268353;10.3921918880012;87.1601768952378;1.5881739169432;-11.1928889736808;6.353088921317;290.510572681377;0.025914696080346;0.0148351445761474;4.94546598838355;0.999901470707239;-0.000571295645870278;-0.0140257797924456;0.000406856608617418;0.999931187465949;-0.0117241119338153;0.0140315125770956;0.0117172502841586;0.999832897388647;-0.470624408729833;0.549350847128038;4.94593923013286;0.999797253715181;0.0146830512607878;-0.013778950223263;-0.0148484474446492;0.999817996994204;-0.011979002253136;0.0136005541087697;0.0121811695731659;0.999833308124792;-9.84870766817388;0.120104289906128;31.5214545297134;-9.80605692301809;0.147264330456356;17.1810710135014;0.068;-0.112;0.058;-0.145;-0.159;0.077;-0.111;-0.015
1926108;L;2017-11-20_14.52.07;True;False;;61.4;PR FF;SHAMIR;71;B;1.586;1.843;-4.132;0;10;2.5;-12;0;0;NaN;5;-2;135;7;-2;135;NaN;NaN;NaN;0;1.561;2;5.0738;-2.0073;135.146;0.8394;-2.7938;7.3429;-2.089;135.719;-0.0696;7.7413;3.5747;2.2631;47.064;-0.159;1.4291;2.2282;True;-0.0786743073789282;-0.118988674404741;359.996344712253;0.0118936548229854;-2.47721920655223E-17;0;0;True;1.76899440816781;4.07940656154638;89.8588847984962;2.57876800485603E-17;0.0106464659035324;0;50.1571;0;True;-0.028740937614143;0.00306858787703934;0.718359878709636;0.0427420803434044;0.0323166788317761;-0.0111392511461911;-0.0332863534117729;2.47923229805841;237.980510440009;-0.102517321238299;9.62945693335704;2.02509757317003;100.843013391191;-2.33607117266344;-11.7042417375351;6.69474990875234;240.929869597752;0.0174979053382169;-0.0369438702720017;2.4722301557115;238.164386743771;0.0470479800623663;9.62409979486218;2.02589514980333;98.942094080377;-2.45526424977696;-11.6748500838925;6.71118731297823;240.766891908492;-0.128750892049258;-0.221479250626628;5.25122210859871;0.999751520355002;0.000955812606866388;0.0222706975670501;-0.0022962052886295;0.998181352627653;0.0602388139632835;-0.0221726180036307;-0.0602749839377097;0.99793551962147;-0.0991781822911451;-0.224984920594346;5.25178056058553;0.999710526710689;-0.011574575746673;0.0210924626376721;0.0102783566578971;0.998111699540037;0.0605589846819818;-0.0217535782861148;-0.0603246586197052;0.997941740480959;4.11775888008933;2.22524887895841;46.3693067700692;4.11713790552171;2.27239635529163;45.9623987096891;0.035;0.109;0.031;0.109;0.073;0.018;0.152;-0.037
1926108;R;2017-11-20_14.52.07;True;False;;61.4;PR FF;SHAMIR;71;B;1.586;1.876;-4.144;0;10;2.5;-12;0;0;NaN;5;0;0;7;0;0;NaN;NaN;NaN;0;1.561;2;5.0435;0.0798;95.641;0.1141;-3.6091;7.3144;0.1056;98.761;-1.4166;9.1319;5.5134;0.3196;115.579;0.1304;1.4739;2.2838;True;0.0269753128052197;-0.0822647772425855;0.00932975441054058;-0.0282942294207558;-1.95370842625483E-17;0;0;True;-1.95254610553469;4.14242499618833;269.836326258364;3.53146983529004E-17;0.0458094792693804;0;50.187;0;True;-0.0344933368963052;0.0945699866182457;-0.517750124436497;0.0479219375799001;0.020235843282172;-0.0516470992694988;0.0914824299905821;3.38009656292508;290.719850918441;-0.0402810714927529;9.7909303175563;1.16480458015601;2.977320529207;2.37930803336313;-11.6424822303685;5.89898561697874;287.562909920527;-0.0164510992002189;-0.00266792972347624;3.41083994666958;290.725496598976;-0.0923026434676459;9.69577706804135;1.14556401000174;1.35781405930923;2.5222482250556;-11.7154377968989;5.91735354285652;287.707137278048;0.0693055013204071;-0.228300877150461;5.27293277352612;0.999814002213551;-0.00025170465157056;-0.0192846473260391;0.00174064079685463;0.997011738784003;0.0772305826503763;0.0192075804654739;-0.0772497855768458;0.99682673493491;0.105591798138079;-0.325243763665461;5.26483569902985;0.999779199305193;0.0087827422862354;-0.0190896850314908;-0.00725294395791613;0.996865696503028;0.0787792989273;0.0197217504449093;-0.0786234479876527;0.996709288602209;5.1522083444145;0.227497938934079;121.295624984613;5.07410458381919;0.0370388040651759;104.982493475683;0.057;0.112;0.048;0.115;0.081;0.016;0.163;-0.009
1926126;L;2017-11-20_14.47.15;True;False;;62;PR FF;INDO;10021;B;1.586;3.627;-3.857;0;8;2.5;-14;0;0;NaN;4;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0.592;2;4.0114;0.0621;36.276;0.1543;-2.5479;6.1823;0.3022;179.08;1.2877;8.1848;4.233;0.1914;42.795;0.1035;0.7113;2.2909;True;-0.040186502329427;-0.0869596153340833;0.0767710561249591;0.0450433106131636;-2.90934382972041E-17;0;0;True;3.65223916563988;3.79855341725753;89.9272073455833;3.79583176331883E-17;0.072113679358486;0;50.6629;0;True;0.0809872819828792;-0.00633710970139223;0.638584826439186;0.0477273643954007;0.0204011713333983;0.138296313684107;0.0437846433537483;4.09284029586707;218.82370823006;0.124478260492602;7.76915416926689;3.26447447742701;165.767760021178;-2.22653999008116;-13.6059931074255;7.95789788468485;239.679289335748;0.0578773697785456;0.0510064319338572;4.1175589411228;218.509645145476;0.129715822156118;7.77591099545955;3.26296502055791;165.706827156955;-2.46104578147012;-13.5706065963312;7.97958707284297;239.299967865244;-0.135762083452115;-0.176741369240557;5.23745801250197;0.998506419336096;0.000612004945722235;0.0546310899997034;-0.00359061244199967;0.99851054821699;0.0544407255801825;-0.0545164016319918;-0.0545555730366;0.997021389642042;-0.219064157849122;-0.169351333729382;5.23343443846863;0.998419554696005;-0.0105398011030162;0.0552024038728315;0.00750196091365411;0.99846082305609;0.0549518462347375;-0.0556966191350997;-0.0544508715712162;0.99696187951298;4.0680793481378;0.156425471931465;27.2248292937861;4.00835722331776;0.0186299425571325;77.0713732738599;0.037;0.095;0.03;0.095;0.071;0.03;0.133;-0.001
1926126;R;2017-11-20_14.47.15;True;False;;60;PR FF;INDO;10021;B;1.586;3.59;-3.825;0;8;2.5;-14;0;0;NaN;4;-2;45;NaN;NaN;NaN;NaN;NaN;NaN;0;0.592;2;4.0531;-2.0306;45.078;-0.6947;-1.9507;6.2959;-2.0211;47.73;0.3463;6.433;2.2525;2.1481;134.701;0.056;0.5739;2.2475;True;-0.0396560100779713;0.0109676604002924;0.0342102456766832;-0.0248510840684504;-1.57221016459734E-17;0;0;True;-3.7742980383853;3.9248392992518;269.919858222276;2.82538419899436E-17;0.0247065089658349;0;48.7252;0;True;0.0651363722075948;-0.251708054090112;-0.268392617713663;0.049881064717684;0.0327498228553869;-0.0265457522611055;0.111374228030581;3.85158336719691;320.720301974696;0.0345616417942873;7.80409228520674;2.76816135358259;36.3289397399684;2.24594449326945;-13.4479229068488;9.79220397966819;302.908410267872;-0.0901313517312262;0.359926390303315;3.72095695399473;321.739386684354;-0.066562971748078;8.05361625985078;2.79465712504393;39.6737596889453;2.24581863823364;-13.1812466236353;9.70289412986682;303.060038901935;0.209085178639278;-0.0812905501907137;5.15065345297029;0.998667738343163;-4.12235527605647E-06;-0.0516018253122627;0.00277793891005457;0.998554184081048;0.0536826276335655;0.051526997272916;-0.0537544550454959;0.997223860080974;0.140939181467077;0.177758909708969;5.16777425917144;0.998718652473689;0.0046773262875076;-0.0503902353630059;-0.0021417084143669;0.998734043343816;0.0502565791830357;0.0505615099280744;-0.0500842618485398;0.997464335417001;3.03507715450092;2.15772817581883;136.381524848971;2.93965904291687;2.03963612926482;134.892152329518;0.042;0.1;0.034;0.089;0.064;0.04;0.154;0.031
1926127;L;2017-11-20_13.45.14;True;False;;61.4;PR FF;SHAMIR;71;B;1.733;1.835;4.301;0;10;2.2;-12;0;0;NaN;-9.5;0;0;-8.5;0;0;NaN;NaN;NaN;0;2.5;1;-9.4776;0.0168;150.311;0.1691;11.9305;-8.5727;0.2696;178.819;-1.7702;-8.1652;-9.4569;0.0977;61.375;0.1685;2.3971;1.0313;True;0.0235910091234889;0.110223428673919;0.00755554339077083;-0.00243484753163959;-8.89195375133616E-19;0;1;True;1.80092347796988;-4.27725276467809;89.9081203377496;4.13671035118904E-18;0.00440868471897742;0;49.4999;0;True;-0.567836154052485;-0.737833370128302;1.01859403894207;0.0755086330319882;0.0134732309778547;0.104297645140364;0.0987305501510066;1.78947621963417;135.510684990691;0.128081152827618;9.74273783418823;9.03648067918885;97.9610368823764;-2.02298678780451;-11.5651821010796;7.92866820050759;248.850159937331;0.672377578240317;0.809312717716893;1.99623256028518;114.478606383427;0.862577909612603;10.4269545835883;9.51900443967628;94.0444647358776;-1.66952430730652;-10.8288156110086;7.3593181495874;249.24095937687;0.0669415881185337;0.135426450545991;4.98012058192853;0.999866772486259;-0.000554553913974662;0.016313483621455;0.000551421074402798;0.999999828653918;0.000196537360406179;-0.016313589816766;-0.0001875155775565;0.99986690695572;0.647913845836051;0.863045880303102;4.98935973194222;0.999707106207985;-0.0183191952556604;0.0158148310911785;0.0183239258328682;0.999832090876447;-0.000154258562199867;-0.01580934974403;0.000444003172798726;0.999874925839154;-9.40351832400013;0.123332373714344;147.123396347788;-9.23668988526207;0.32897777626803;142.765118851738;0.076;-0.126;0.058;-0.147;-0.202;0.025;-0.097;0.032
1926127;R;2017-11-20_13.45.14;True;False;;61.4;PR FF;SHAMIR;71;B;1.733;1.864;4.294;0;10;2;-12;0;0;NaN;-9.5;-2;45;-7.5;-2;45;NaN;NaN;NaN;0;2.5;2;NaN;NaN;NaN;NaN;NaN;-7.4668;-2.0202;48.633;1.7708;6.1569;-11.0976;2.0119;134.848;0.1296;2.2511;NaN;True;0.0178271066736233;0.0244001683805267;0.0815259423145836;0.00203164112295698;-1.75971276024576E-18;0;1;False;999.9;999.9;999.9;4.36049143867592E-18;0.00469427763930909;0;49.5049;20060;True;0.169690661616674;-0.533649155486972;0.113970185774439;0.0970789396180881;0.0602008424147719;0.113756038852859;0.00670045987210718;1.35109947367379;69.2376683580638;0.130942613726335;9.61251210191172;9.59969867570337;91.6368373371896;2.02125031947319;-11.6403525969155;8.19317061140039;290.546376936914;-0.0496442064966962;0.528052936170572;1.73915972760555;80.1507726762104;-0.0101334691812829;10.1111289706796;10.0542903660937;92.4847235082725;1.8387289620504;-11.1342224149285;7.7880128408932;290.320345131759;0.12805414114856;0.0446329665056786;4.89278265982551;0.999982284289023;0.00091617149552177;-0.00588147412635495;-0.000907978378377526;0.999998613996901;0.00139555707190093;0.00588274454422324;-0.00139019209727548;0.999981730174387;-0.0408468083819701;0.57868753395471;4.89438257564711;0.99998296241369;-0.00107703761198871;-0.00573714844887964;0.00108233589106703;0.999998990633021;0.00092047919980002;0.00573615126727221;-0.000926673038734808;0.999983118780371;-10.3447673414604;1.87592191848054;135.01448965798;-10.2977715943858;1.90693803593215;136.281306427304;0.124;-0.168;0.109;-0.203;-0.249;0.055;-0.143;0.043
1926137;L;2017-11-20_13.49.00;True;False;;61.4;PR FF;SHAMIR;71;B;1.733;1.804;4.302;0;10;2.167;-12;0;0;NaN;-9;-2;90;-8;-2;90;NaN;NaN;NaN;0;2.5;1;-8.977;-1.9097;89.811;0.2893;11.3106;-7.8271;-2.1826;89.684;-3.2382;7.1316;-10.8189;1.8492;2.049;0.3106;2.247;1.0135;True;0.00799674342491435;0.0411156851953622;0.137012738516689;-0.00278541250050017;-9.36403879136831E-19;0;1;True;1.6500378168261;-4.21759713179889;89.4417526741804;3.85880576782428E-18;0.00375411817373361;0;49.496;0;True;-0.0496614038988441;-0.775068683432185;0.321827720419171;0.0734321731092181;0.0349414798915944;0.0269667343848541;0.0119824197123359;1.89862057670038;105.772311059726;0.00209728906343723;9.66925864730246;9.17202487785594;93.3411739972224;-2.02334907886773;-11.6909168572175;6.7884329540333;250.08376148445;0.0766814278390374;0.769738275407993;2.4417146887951;101.048081743726;0.106064953917798;10.4017572043179;9.7225039597559;92.5976640536907;-2.04259570440357;-10.9316371629773;6.32775600798364;248.409710533335;0.0119193704228534;0.065267676467562;5.06775652536817;0.999942912519977;0.00343591623375075;0.0101176173430979;-0.00333094283737687;0.999940641286805;-0.0103739444160624;-0.010152660778379;0.0103396509886974;0.999895002035989;0.0628740537271365;0.840468213363872;5.05999579829256;0.999946284659358;-0.00217935650792145;0.0101330252717801;0.0022907026022213;0.999936986007477;-0.0109898451249386;-0.0101084359589073;0.0110124665490225;0.999888266309277;-9.89887368704046;2.04725970471917;178.373164258343;-9.73415061135083;2.10856781393114;175.710686938665;0.056;-0.112;0.041;-0.135;-0.161;-0.099;-0.099;-0.052
1926137;R;2017-11-20_13.49.00;True;False;;61.4;PR FF;SHAMIR;71;B;1.733;1.857;4.35;0;10;2;-12;0;0;NaN;-9;0;0;-7;0;0;NaN;NaN;NaN;0;2.5;2;-8.9697;0.0426;68.425;-0.0275;11.4136;-7.1251;0.2903;6.46;1.584;-6.5626;-8.7187;0.1288;129.438;0.0261;2.4921;1.9684;True;0.0287282437230733;0.107375390005608;359.942815006777;0.00224003560379228;-1.68085668327276E-18;0;1;False;999.9;999.9;999.9;3.70017777390445E-18;0.00343811701843887;0;49.4934;20217;True;0.18687215298428;-0.450021861958537;0.913084966172786;0.0736493822177658;0.0349195678382923;0.0138411266753049;0.0653712028946444;1.99396892339409;78.4138537165077;0.0278102996707039;9.71731339782376;9.19311533904854;87.5650143651589;1.93956083314582;-11.6755466182245;5.76650166014857;286.823838344661;-0.161054087277206;0.508821872133397;2.29064603524738;83.2328935097442;0.00869433724715159;10.1440860306761;9.51589327706899;87.7333273836815;1.57856554303785;-11.2651293927636;5.47926231580648;285.378020210459;0.0256145404737224;0.122794912139036;5.04431223289868;0.999988190665394;-0.00199297182878122;-0.00443244774821507;0.00196059245353377;0.999971451134785;-0.00729746480794265;0.00444686484864548;0.00728868840613313;0.99996354954285;-0.153057508541211;0.576205625410201;5.04169882805155;0.999830640845671;-0.0179286955216813;-0.00415349287048702;0.0178960933220476;0.999809754630558;-0.00775785984618167;0.00429179099478346;0.00768221468557603;0.999961281304222;-8.86916932718851;0.1360974707173;29.9204038810154;-8.81959022357703;0.157162026792167;16.6883972882174;0.091;-0.133;0.06;-0.158;-0.18;0.105;-0.113;-0.057
1926147;L;2017-11-20_13.57.36;True;True;;70;PR FF;INDO;10021;B;1.586;0.674;-3.866;0;8;2.5;-14;0;0;NaN;1;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;-0.212;2;1.0189;0.0263;97.318;0.2241;-1.0178;3.0171;0.2428;173.701;0.672;3.179;1.2105;0.2076;43.554;0.192;-0.0728;2.1064;True;-0.0632430513050752;-0.0487808152021833;0.036611007782086;0.00158737545866878;-6.44496896948901E-18;0;0;False;999.9;999.9;999.9;1.53885554630265E-17;0.0358210500851793;0;58.2161;20217;True;-0.0395983608737389;-0.10706527301667;0.156865057350769;0.0529005651470164;0.0196720643132382;0.0546905202906518;0.0302302803356133;2.69803714704806;243.104618652565;0.0488752459727986;7.91698273642446;1.22263870316585;167.323394465489;-2.39519630625764;-13.823257260562;5.77380246851055;251.497714344904;0.0941962493332387;0.13653111169387;2.66082129624405;243.032905270776;0.110135234799497;8.02348189932866;1.21070266509644;165.405783464468;-2.39357420047412;-13.7090904999847;5.75782752466201;251.448131709624;0.0012836816506026;-0.0750633370149492;5.0727155566812;0.999772106929052;0.00027539656648221;0.0213461557048491;-0.00109775356665576;0.999257122574238;0.0385226935943166;-0.0213196891101016;-0.0385373473579316;0.999029701117471;0.0414036184623507;0.0327705401061469;5.07768916282106;0.999777854615555;-0.00245505558954812;0.0209335644927241;0.00166339486030847;0.999285767659063;0.0377516578652528;-0.0210112954826091;-0.0377084507251178;0.999067864664885;0.997753607918065;0.0268171310519854;22.892117250594;0.945380391401304;0.0353415841010438;68.8287619617301;0.067;0.05;0.064;0.046;0.039;0.002;0.122;0.139
1926147;R;2017-11-20_13.57.36;True;True;;70;PR FF;INDO;10021;B;1.586;3.509;-3.75;0;8;2.5;-14;0;0;NaN;1;-2;45;NaN;NaN;NaN;NaN;NaN;NaN;0;-0.212;2;1.0227;-1.9815;44.632;-0.6035;-0.1928;3.1118;-2.0611;45.296;1.2339;1.4895;-0.8114;2.1891;134.364;0.1748;-0.0441;2.0493;True;-0.0191645044739284;-0.14081587036762;359.96238821273;0.00199340443355678;-7.880661429981E-18;0;0;False;999.9;999.9;999.9;1.25530598291098E-17;0.00464739431428193;0;58.3728;20217;True;-0.0234613495692844;-0.0372745368903713;0.41637690627414;0.0474344640224807;0.0338906067248162;0.0307520170634717;-0.0758998910471492;2.23278342149976;309.876205991854;0.0745199886292278;7.76735719879261;1.84681370425265;69.3450669085829;2.38943075709348;-13.8393618620434;7.35033909718866;299.403678189505;0.0544450264491812;-0.0391069106088158;2.22663422527143;310.20630622627;0.15511788071148;7.80420209870706;1.86628360555502;68.5161843731981;2.31262928055142;-13.8204346849611;7.3293744854803;299.309364629591;0.0979189201457897;-0.156303721141405;5.07500049118852;0.99968645754576;-0.000957252341286081;-0.0250213961953265;0.00161778374477962;0.999650367596812;0.0263917665061255;0.0249873843241649;-0.0264239707749199;0.999338483394452;0.121884891221151;-0.118898207216856;5.07538892998713;0.999643700259499;-0.00822217199356587;-0.0253942595718859;0.00888047264892461;0.999624570660829;0.0259201646731694;0.0251716057697518;-0.0261364423527905;0.999341421459208;0.0340477031364425;2.13231328046694;136.182545849802;-0.0474216061255516;2.02443355586082;134.54842926173;0.045;0.038;0.04;0.037;0.025;0.002;0.105;0.087
